stage,area,subarea,total_required_credits,必修_credits,選択必修1_credits,選択必修2_credits,自由_credits,notes
卒業,共通分野,教養科目,10,0,0,0,10,共通分野。卒業要件として10単位。
卒業,共通分野,体育科目,1,0,1,0,0,△選択必修科目1単位を含む。
卒業,共通分野,外国語科目,8,4,0,0,4,○必修科目4単位を含む。
卒業,専門分野,理工学基礎科目,31,17,4,2,8,○必修17単位、△1選択必修4単位、△2選択必修2単位を含む。
卒業,専門分野,専門科目,60,31,0,0,29,○必修31単位を含む。
卒業,自由選択,自由選択,14,0,0,0,14,他区分の余剰・特別履修等を算入。
4年次進級,総計,総単位数,100,0,0,0,100,卒業要件非加算の単位数は含まない。
4年次進級,共通分野,合計,15,0,0,0,15,教養8、体育1、外国語6を含む。
4年次進級,共通分野,教養科目,8,0,0,0,8,
4年次進級,共通分野,体育科目,1,0,1,0,0,△選択必修科目1単位を含む。
4年次進級,共通分野,外国語科目,6,3,0,0,3,○必修科目3単位を含む。
4年次進級,専門分野,合計,77,0,0,0,77,理工学基礎科目27、専門科目50を含む。
4年次進級,専門分野,理工学基礎科目,27,14,2,2,9,○必修14単位、△1選択必修2単位、△2選択必修2単位を含む。
4年次進級,専門分野,専門科目,50,23,0,0,27,事例研究2単位、「事例研究」以外の必修21単位を含む。
